Constituency,Electorate,Party,Candidates,Votes,%
MacPherson,"19,500",People's Action Party,Chua Sian Chin,Uncontested,
Marine Parade,"23,622",People's Action Party,Goh Chok Tong,"15,228",70.93
,,Singapore United Front,Gertrude Magdeline De Gracias,"6,242",29.07
Moulmein,"18,893",People's Action Party,Lawrence Sia,Uncontested,
Mountbatten,"21,480",People's Action Party,Eugene Yap Giau Cheng,"16,077",81.32
,,Independent,Tan Ah Teng,"3,692",18.68
Nee Soon,"26,897",People's Action Party,Koh Lip Lin,"18,444",74.24
,,Singapore United Front,Quek Teow Chuan,"6,401",25.76
Pasir Panjang,"17,149",People's Action Party,Abbas Abu Amin,"9,316",59.35
,,Workers' Party,John Gan Eng Guan,"6,022",38.36
,,Angkatan Islam Singapura,Mohamad Sani bin Jan,359,2.29
Paya Lebar,"18,420",People's Action Party,Philip Tan Tee Yong,Uncontested,
Potong Pasir,"17,915",Singapore Democratic Party,Chiam See Tong,"10,128",60.28
,,People's Action Party,Mah Bow Tan,"5,509",39.72
Punggol,"24,727",People's Action Party,Ng Kah Ting,"14,904",65.09
,,Singapore United Front,Sim Ah Leng,"7,995",34.91
Queenstown,"18,084",People's Action Party,Jek Yeun Thong,Uncontested,
Radin Mas,"19,770",People's Action Party,Chng Hee Kok,"9,997",53.78
,,Workers' Party,Wong Hong Toy,"8,590",46.22
River Valley,"13,481",People's Action Party,Tay Eng Soon,Uncontested,
Rochore,"14,164",People's Action Party,Toh Chin Chye,Uncontested,
Sembawang,"22,326",People's Action Party,Tony Tan,"15,948",77.42
,,Independent,Stanley Mariadass,"4,652",22.58
Serangoon Gardens,"17,553",People's Action Party,Lau Teik Soon,Uncontested,
Siglap,"17,090",People's Action Party,Abdullah Tarmugi,Uncontested,
Tampines,"19,656",People's Action Party,Phua Bah Lee,"13,163",72.34
,,United People's Front,Kasim bin Ibrahim,"5,032",27.66
Tanah Merah,"17,808",People's Action Party,Ibrahim bin Othman,"11,093",68.08
,,Singapore United Front,Ng Lep Chong,"5,201",31.92
Tanglin,"15,990",People's Action Party,Edmund W. Barker,Uncontested,
Tanjong Pagar,"15,812",People's Action Party,Lee Kuan Yew,Uncontested,
Teck Ghee,"16,866",People's Action Party,Lee Hsien Loong,"12,794",80.38
,,United People's Front,Giam Lai Cheng,"3,123",19.62
Telok Ayer,"13,984",People's Action Party,Ong Pang Boon,Uncontested,
Telok Blangah,"19,550",People's Action Party,Koh Lam Son,"10,150",55.02
,,Workers' Party,Rajaratnam Murugason,"8,299",44.98
Thomson,"15,271",People's Action Party,Leong Horn Kee,Uncontested,
Tiong Bahru,"20,091",People's Action Party,Ch'ng Jit Koon,Uncontested,
Toa Payoh,"14,177",People's Action Party,Eric Cheong Yuen Chee,"8,559",65.16
,,Barisan Sosialis,Ng Ho,"4,576",34.84
Ulu Pandan,"22,761",People's Action Party,Dixie Tan,Uncontested,
West Coast,"28,008",People's Action Party,Wan Soon Bee,"19,745",75.72
,,Singapore Justice Party,Muthusamy Ramasamy,"6,331",24.28
Whampoa,"18,494",People's Action Party,Augustine Tan Hui Heng,Uncontested,
Yio Chu Kang,"16,734",People's Action Party,Lau Ping Sum,"11,977",76.66
,,United People's Front,Munjeet Singh,"3,647",23.34
Yuhua,"16,266",People's Action Party,Yu-Foo Yee Shoon,"9,551",61.43
,,Singapore Democratic Party,Lim Ah Yong,"5,996",38.57
