Constituency,Electorate,Party,Candidates,Votes,%
Telok Ayer,"12,381",People's Action Party,Ong Pang Boon,Unopposed,
Telok Blangah,"18,314",People's Action Party,Rohan bin Kamis,"9,187",53.02
,,Workers' Party,J. B. Jeyaratnam,"8,141",46.98
Thomson,"14,786",People's Action Party,Chau Sik Ting,Unopposed,
Tiong Bahru,"18,077",People's Action Party,Ch'ng Jit Koon,Unopposed,
Toa Payoh,"13,799",People's Action Party,Eric Cheong Yuen Chee,"9,872",76.73
,,Barisan Sosialis,Ng Ho,"2,994",23.27
Ulu Pandan,"22,048",People's Action Party,Chiang Hai Ding,Unopposed,
West Coast,"18,949",People's Action Party,Wan Soon Bee,"15,185",84.43
,,Singapore Justice Party,Muthusamy Ramasamy,"2,801",15.57
Whampoa,"19,131",People's Action Party,Augustine Tan Hui Heng,Unopposed,
Yio Chu Kang,"14,012",People's Action Party,Lau Ping Sum,"11,607",87.53
,,United People's Front,Lachhu S. Piaro,"1,653",12.47
