Constituency,Electorate,Party,Candidates,Votes,%
,,Workers' Party,Wong Hong Toy,"4,697",32.48
Potong Pasir,"14,167",People's Action Party,Ivan Cuthbert Baptist,"9,667",74.83
,,Workers' Party,Quek Doh Lam,"3,252",25.17
Punggol,"20,444",People's Action Party,Ng Kah Ting,"13,360",69.41
,,Workers' Party,Tan Yong Sin,"5,887",30.59
Queenstown,"16,926",People's Action Party,Jek Yeun Thong,Uncontested,
Radin Mas,"18,418",People's Action Party,N. Naidu Govindasamy,"13,246",75.65
,,Workers' Party,Othman Abdullah,"4,263",24.35
River Valley,"17,022",People's Action Party,Tan Eng Liang,"12,256",81.82
,,Workers' Party,Wu Kher,"2,724",18.18
Rochore,"15,424",People's Action Party,Toh Chin Chye,"9,053",65.5
,,Barisan Sosialis,Lee Siew Choh,"4,768",34.5
Sembawang,"17,695",People's Action Party,Teong Eng Siong,"13,661",83.57
,,United People's Front,John Santhirasekaran P. M. Thevar,"2,685",16.43
Serangoon Gardens,"12,115",People's Action Party,Lau Teik Soon,"7,471",68.74
,,Workers' Party,Charles Harry Crabb,"3,397",31.26
Siglap,"13,849",People's Action Party,Abdul Rahim Ishak,"9,733",78.2
,,United Front,Weerappulli K. W. B.,"2,714",21.8
Tampines,"15,559",People's Action Party,Phua Bah Lee,Uncontested,
Tanglin,"13,332",People's Action Party,Edmund W. Barker,Uncontested,
Tanjong Pagar,"12,147",People's Action Party,Lee Kuan Yew,"9,996",89.03
,,United People's Front,Harbans Singh,"1,232",10.97
Telok Ayer,"15,515",People's Action Party,Ong Pang Boon,Uncontested,
Telok Blangah,"14,225",People's Action Party,Shaik Ahmad bin Abdul Haleem,Uncontested,
Thomson,"15,609",People's Action Party,Ang Nam Piau,"10,636",74.12
,,United Front,Chung Kit Wong,"3,714",25.88
Tiong Bahru,"19,589",People's Action Party,Ch'ng Jit Koon,"15,248",83.1
,,United People's Front,Teo Kim Hoe,"3,100",16.9
Toa Payoh,"13,933",People's Action Party,Eric Cheong Yuen Chee,"9,633",73.63
,,Barisan Sosialis,Abdul Rahim bin Abdul Rahman,"3,450",26.37
Ulu Pandan,"16,343",People's Action Party,Chiang Hai Ding,Uncontested,
Upper Serangoon,"13,705",People's Action Party,Sia Kah Hui,"9,982",79.15
,,United Front,Ng Kwee Lim,"2,630",20.85
Whampoa,"19,259",People's Action Party,Augustine Tan Hui Heng,"14,636",80.98
,,Workers' Party,Mohamed Shariff bin Yahya,"3,438",19.02
