Constituency ,Electorate ,Party,Candidates ,Votes ,% 
Paya Lebar ,"19,102",People's Action Party ,Tay Boon Too ,"11,073",61.59
,,Workers' Party ,Tan Poh Seng ,"5,361",29.82
,,Independent ,Kow Kee Seng ,"1,545",8.59
Potong Pasir ,"13,103",People's Action Party ,Ivan Cuthbert Baptist ,"7,772",66.22
,,Workers' Party ,Rajaratnam Murugason ,"3,391",28.89
,,United National Front ,Harnek Singh ,573,4.89
Punggol ,"15,303",People's Action Party ,Ng Kah Ting ,"8,215",58.13
,,Independent ,Ng Teng Kian ,"5,917",41.87
Queenstown ,"18,458",People's Action Party ,Jek Yeun Thong ,"14,200",81.24
,,Workers' Party ,Chua Eng Huat ,"2,504",28.89
,,United National Front ,Lew Ban Huat ,775,4.43
River Valley ,"12,189",People's Action Party ,Tan Eng Liang ,Uncontested ,
Rochore ,"11,589",People's Action Party ,Toh Chin Chye ,"6,218",60.4
,,Barisan Sosialis ,Lee Siew Choh ,"4,076",39.6
Sembawang ,"12,217",People's Action Party ,Teong Eng Siong ,"8,466",77.36
,,United National Front ,Mohd Arif bin Sahul Hameed ,"2,478",22.64
Sepoy Lines ,"12,308",People's Action Party ,Wee Toon Boon ,"9,160",81.3
,,United National Front ,Ho Soo Hock ,"2,107",18.7
Serangoon Gardens ,"13,836",People's Action Party ,Leonard Peter Rodrigo ,Uncontested ,
Siglap ,"16,091",People's Action Party ,Abdul Rahim Ishak ,"11,456",78.63
,,Workers' Party ,Ariffin bin Noordin ,"2,529",17.36
,,United National Front ,Yahiya bin Haji Mohamed Ghouse ,584,4.01
Stamford ,"8,212",People's Action Party ,Andrew Fong Sip Chee ,"5,083",71.77
,,Workers' Party ,Chiang Seok Keong ,"1,999",28.23
Tampines ,"15,302",People's Action Party ,Phua Bah Lee ,"9,049",64.3
,,People's Front ,Tan Sim Hock ,"5,025",35.7
Tanglin ,"12,777",People's Action Party ,Edmund W. Barker ,Uncontested ,
Tanjong Pagar ,"9,946",People's Action Party ,Lee Kuan Yew ,"7,542",84.08
,,People's Front ,Leong Mun Kwai ,"1,428",15.92
Telok Ayer ,"10,547",People's Action Party ,Ong Pang Boon ,"7,612",83.98
,,United National Front ,Ng Oh Chew ,"1,452",16.02
Telok Blangah ,"14,624",People's Action Party ,N. Naidu Govindasamy ,"7,669",57.92
,,Workers' Party ,Zainul Abiddin bin Mohd Shah ,"4,714",35.6
,,United National Front ,Muthusamy Ramasamy ,858,6.48
Thomson ,"18,702",People's Action Party ,Ang Nam Piau ,"12,378",72.55
,,People's Front ,Wong Chung Kit ,"4,683",27.45
Tiong Bahru ,"17,394",People's Action Party ,Ch'ng Jit Koon ,"11,991",75.62
,,Workers' Party ,Seow Yong Chew ,"2,972",18.74
,,United National Front ,Lee Kah Chit ,894,5.64
Toa Payoh ,"15,742",People's Action Party ,Eric Cheong Yuen Chee ,"10,884",73.85
,,Barisan Sosialis ,Tay Cheng Kang ,"3,853",26.15
Ulu Pandan ,"14,485",People's Action Party ,Chiang Hai Ding ,"9,378",71.83
,,United National Front ,Ang Kheng Kwan ,"3,678",28.17
Upper Serangoon ,"16,621",People's Action Party ,Sia Kah Hui ,"11,862",77.72
,,United National Front ,Lim Kia Joo ,"3,401",22.28
Whampoa ,"12,044",People's Action Party ,Augustine Tan Hui Heng ,"8,773",78.55
,,People's Front ,Phang Juet Haw ,"2,395",21.45
