Year,GDP,GDP.1yr,Recession,GDP.4yr,GDP.Lag,GDP.Cap,GDP.1yr.Cap,GDP.Cap.Lag
2003,207673.4,4.548255426,FALSE,4.109767442,3.923360767,36709.7965,6.101275546,2.979229621
2002,198638.8,3.923360767,FALSE,4.402296525,-1.070862751,34598.82675,2.979229621,-3.703665952
2001,191139.7,-1.070862751,TRUE,2.873702581,9.038316326,33597.86908,-3.703665952,7.165988202
2000,193208.7,9.038316326,FALSE,5.220470547,5.718371757,34890.08114,7.165988202,4.876891842
1999,177193.4,5.718371757,FALSE,4.828739181,-2.191015006,32557.04699,4.876891842,-5.457986674
1998,167608.9,-2.191015006,TRUE,5.192996522,8.316209111,31043.10818,-5.457986674,4.739926747
1997,171363.5,8.316209111,FALSE,8.514672601,7.47139086,32835.25185,4.739926747,3.190985139
1996,158206.7,7.47139086,FALSE,9.300533042,7.175401121,31349.31718,3.190985139,3.968567752
1995,147208.2,7.175401121,FALSE,9.092636719,11.09568931,30379.89911,3.968567752,7.665158475
1994,137352.6,11.09568931,FALSE,8.970885824,11.45965088,29220.27279,7.665158475,8.675304888
1993,123634.5,11.45965088,FALSE,8.652188385,6.639805569,27139.95243,8.675304888,3.483718244
1992,110923.1,6.639805569,FALSE,8.326982826,6.68839754,24973.43114,3.483718244,3.695382282
1991,104016.6,6.68839754,FALSE,9.482929467,9.820899557,24132.71533,3.695382282,5.631848024
1990,97495.7,9.820899557,FALSE,10.5103132,10.15882864,23272.70009,5.631848024,6.971857275
1989,88777,10.15882864,FALSE,8.390790914,11.26359213,22031.89713,6.971857275,8.475501124
1988,80590,11.26359213,FALSE,5.695408342,10.79793247,20595.97514,8.475501124,9.14418252
1987,72431.6,10.79793247,FALSE,5.077581868,1.342810414,18986.7527,9.14418252,1.438615057
1986,65372.7,1.342810414,FALSE,4.516719277,-0.62270165,17396.02814,1.438615057,-0.758403193
1985,64506.5,-0.62270165,TRUE,5.956552886,8.792286239,17149.3155,-0.758403193,6.755184056
1984,64910.7,8.792286239,FALSE,8.816209123,8.554482106,17280.37038,6.755184056,7.153752205
1983,59664.8,8.554482106,FALSE,9.14648059,7.102144849,16186.91451,7.153752205,2.503512627
1982,54963,7.102144849,FALSE,9.396472249,10.8159233,15106.25077,2.503512627,5.614279638
1981,51318.3,10.8159233,FALSE,9.565231525,10.11337211,14737.30059,5.614279638,8.724607403
1980,46309.5,10.11337211,FALSE,8.574361299,9.55444874,13953.89017,8.724607403,8.180134489
1979,42056.2,9.55444874,FALSE,7.905309976,7.777181954,12834.16009,8.180134489,6.481254758
1978,38388.4,7.777181954,FALSE,6.513882448,6.852442394,11863.69397,6.481254758,5.38197486
1977,35618.3,6.852442394,FALSE,6.098938052,7.437166818,11141.5798,5.38197486,5.998924538
1976,33334.1,7.437166818,FALSE,7.036578208,3.988738626,10572.5669,5.998924538,2.481255806
1975,31026.6,3.988738626,FALSE,8.506177156,6.117404371,9974.220918,2.481255806,4.366072197
1974,29836.5,6.117404371,FALSE,10.61235179,10.60300302,9732.727063,4.366072197,8.555359642
1973,28116.5,10.60300302,FALSE,12.56850145,13.31556261,9325.566113,8.555359642,11.23603988
1972,25421.1,13.31556261,FALSE,13.37620697,12.41343716,8590.608648,11.23603988,10.37079951
1971,22433.9,12.41343716,FALSE,13.42906488,13.942003,7722.864512,10.37079951,12.18402306
1970,19956.6,13.942003,FALSE,13.45285877,13.83382512,6997.199029,12.18402306,12.13398097
1969,17514.7,13.83382512,FALSE,12.51238185,13.52699422,6237.250937,12.13398097,11.58597603
1968,15386.2,13.52699422,FALSE,11.01249069,12.50861275,5562.320077,11.58597603,10.05090033
1967,13552.9,12.50861275,FALSE,6.85495009,10.18009531,4984.784177,10.05090033,7.474577044
1966,12046.1,10.18009531,FALSE,6.237840232,7.834260465,4529.52603,7.474577044,5.245415269
1965,10933.1,7.834260465,FALSE,5.581177451,-3.103168156,4214.509287,5.245415269,-5.555053671
1964,10138.8,-3.103168156,TRUE,5.656994711,10.04017331,4004.458794,-5.555053671,7.293766759
1963,10463.5,10.04017331,FALSE,NA,7.553444181,4239.992662,7.293766759,4.616034381
1962,9508.8,7.553444181,FALSE,NA,8.137529508,3951.76047,4.616034381,4.580373932
1961,8841,8.137529508,FALSE,NA,NA,3777.394635,4.580373932,NA
1960,8175.7,NA,NA,NA,NA,3611.953651,NA,NA
